[07.06.2017 | 21:25:14] @Lea [284381796559355904] :   3w20
[07.06.2017 | 21:25:15] @DSABot [320884264956723203] :   1, 16, 7
[07.06.2017 | 21:25:40] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 21:25:40] @DSABot [320884264956723203] :   5, 9, 13
[07.06.2017 | 21:28:11] @Lea [284381796559355904] :   3w20
[07.06.2017 | 21:28:11] @DSABot [320884264956723203] :   11, 1, 17
[07.06.2017 | 21:33:36] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 21:33:37] @DSABot [320884264956723203] :   14, 1, 18
[07.06.2017 | 21:33:59] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 21:33:59] @DSABot [320884264956723203] :   6, 3, 20
[07.06.2017 | 21:35:59] @Blacky [Skjöll] [306128089266520066] :   w20
[07.06.2017 | 21:36:00] @DSABot [320884264956723203] :   5
[07.06.2017 | 21:37:53] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 21:37:53] @DSABot [320884264956723203] :   5, 19, 6
[07.06.2017 | 21:39:38] @Lea [284381796559355904] :   w20
[07.06.2017 | 21:39:38] @DSABot [320884264956723203] :   1
[07.06.2017 | 21:50:37] @Lea [284381796559355904] :   w20
[07.06.2017 | 21:50:37] @DSABot [320884264956723203] :   17
[07.06.2017 | 21:51:48] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 21:51:48] @DSABot [320884264956723203] :   11, 20, 18
[07.06.2017 | 21:52:04] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 21:52:04] @DSABot [320884264956723203] :   14, 11, 20
[07.06.2017 | 21:52:14] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 21:52:14] @DSABot [320884264956723203] :   3, 10, 14
[07.06.2017 | 21:53:31] @Lea [284381796559355904] :   3w20
[07.06.2017 | 21:53:31] @DSABot [320884264956723203] :   2, 15, 14
[07.06.2017 | 21:56:08] @Blacky [Skjöll] [306128089266520066] :   w20
[07.06.2017 | 21:56:08] @DSABot [320884264956723203] :   3
[07.06.2017 | 21:56:16] @Blacky [Skjöll] [306128089266520066] :   w20
[07.06.2017 | 21:56:16] @DSABot [320884264956723203] :   7
[07.06.2017 | 21:58:25] @Lea [284381796559355904] :   w20
[07.06.2017 | 21:58:26] @DSABot [320884264956723203] :   6
[07.06.2017 | 21:58:36] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 21:58:36] @DSABot [320884264956723203] :   4, 14, 6
[07.06.2017 | 22:00:11] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:00:11] @DSABot [320884264956723203] :   9
[07.06.2017 | 22:00:11] @Lea [284381796559355904] :   w20
[07.06.2017 | 22:00:11] @DSABot [320884264956723203] :   7
[07.06.2017 | 22:00:44] @Lea [284381796559355904] :   w20
[07.06.2017 | 22:00:45] @DSABot [320884264956723203] :   5
[07.06.2017 | 22:03:18] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 22:03:18] @DSABot [320884264956723203] :   12, 8, 18
[07.06.2017 | 22:05:30] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 22:05:30] @DSABot [320884264956723203] :   3, 11, 9
[07.06.2017 | 22:07:24] @Blacky [Skjöll] [306128089266520066] :   w20
[07.06.2017 | 22:07:26] @DSABot [320884264956723203] :   18
[07.06.2017 | 22:08:28] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:08:28] @DSABot [320884264956723203] :   9
[07.06.2017 | 22:09:02] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:09:02] @DSABot [320884264956723203] :   18
[07.06.2017 | 22:09:41] @Lea [284381796559355904] :   w20
[07.06.2017 | 22:09:41] @DSABot [320884264956723203] :   10
[07.06.2017 | 22:10:54] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:10:54] @DSABot [320884264956723203] :   9
[07.06.2017 | 22:11:18] @Lea [284381796559355904] :   w20
[07.06.2017 | 22:11:18] @DSABot [320884264956723203] :   12
[07.06.2017 | 22:11:19] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:11:19] @DSABot [320884264956723203] :   13
[07.06.2017 | 22:12:40] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:12:41] @DSABot [320884264956723203] :   19
[07.06.2017 | 22:15:13] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 22:15:13] @DSABot [320884264956723203] :   6, 11, 1
[07.06.2017 | 22:19:00] @Lea [284381796559355904] :   w20
[07.06.2017 | 22:19:00] @DSABot [320884264956723203] :   10
[07.06.2017 | 22:20:44] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:20:45] @DSABot [320884264956723203] :   9
[07.06.2017 | 22:24:51] @Blacky [Skjöll] [306128089266520066] :   
[07.06.2017 | 22:25:46] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:25:46] @DSABot [320884264956723203] :   15
[07.06.2017 | 22:26:07] @Lea [284381796559355904] :   w20
[07.06.2017 | 22:26:07] @DSABot [320884264956723203] :   13
[07.06.2017 | 22:26:50] @Lea [284381796559355904] :   w20
[07.06.2017 | 22:26:50] @DSABot [320884264956723203] :   9
[07.06.2017 | 22:26:54] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:26:54] @DSABot [320884264956723203] :   11
[07.06.2017 | 22:27:24] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 22:27:24] @DSABot [320884264956723203] :   1, 5, 13
[07.06.2017 | 22:27:28] @Lea [284381796559355904] :   w6
[07.06.2017 | 22:27:28] @DSABot [320884264956723203] :   2
[07.06.2017 | 22:28:47] @Lea [284381796559355904] :   3w20
[07.06.2017 | 22:28:48] @DSABot [320884264956723203] :   4, 13, 5
[07.06.2017 | 22:28:56] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 22:28:57] @DSABot [320884264956723203] :   14, 16, 5
[07.06.2017 | 22:31:19] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 22:31:19] @DSABot [320884264956723203] :   8, 12, 12
[07.06.2017 | 22:32:13] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 22:32:14] @DSABot [320884264956723203] :   19, 18, 4
[07.06.2017 | 22:32:30] @Blacky [Skjöll] [306128089266520066] :   wenn dein 12 Jähriger kleiner bruder auch einen dsa dämon erstellen darf
[07.06.2017 | 22:32:39] @Blacky [Skjöll] [306128089266520066] :   
[07.06.2017 | 22:34:28] @Lea [284381796559355904] :   3w20
[07.06.2017 | 22:34:29] @DSABot [320884264956723203] :   4, 14, 6
[07.06.2017 | 22:36:53] @Lea [284381796559355904] :   3w20
[07.06.2017 | 22:36:53] @DSABot [320884264956723203] :   13, 15, 7
[07.06.2017 | 22:39:46] @Lea [284381796559355904] :   3w20
[07.06.2017 | 22:39:47] @DSABot [320884264956723203] :   12, 14, 9
[07.06.2017 | 22:40:09] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:40:09] @DSABot [320884264956723203] :   1
[07.06.2017 | 22:40:26] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:40:26] @DSABot [320884264956723203] :   2
[07.06.2017 | 22:41:36] @Lea [284381796559355904] :   w20
[07.06.2017 | 22:41:36] @DSABot [320884264956723203] :   6
[07.06.2017 | 22:42:45] @Lea [284381796559355904] :   3w20
[07.06.2017 | 22:42:45] @DSABot [320884264956723203] :   4, 17, 6
[07.06.2017 | 22:44:07] @Eradan [222695270377455617] :   w20
[07.06.2017 | 22:44:07] @DSABot [320884264956723203] :   14
[07.06.2017 | 22:44:10] @Lea [284381796559355904] :   w20
[07.06.2017 | 22:44:10] @DSABot [320884264956723203] :   9
