[13.06.2017 | 18:31:34] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:32:13] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @TheDeepSpacer [161855472926720001] :   -dev java
[13.06.2017 | 18:32:13] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:32:19] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @TheDeepSpacer [161855472926720001] :   -dev c#
[13.06.2017 | 18:32:19] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:32:34] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @TheDeepSpacer [161855472926720001] :   -dev c++
[13.06.2017 | 18:32:35] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:32:52] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @TheDeepSpacer [161855472926720001] :   -dev c
[13.06.2017 | 18:32:52] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:33:01] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @naix [200627281817763840] :   du kannst mehrere argumente angeben-
[13.06.2017 | 18:33:08] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @naix [200627281817763840] :   du musst nicht alles einzeln machen
[13.06.2017 | 18:33:09] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @TheDeepSpacer [161855472926720001] :   ging iwie nicht
[13.06.2017 | 18:33:16] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Lord Nightcore [315499915851857922] :   wollt ich grad sagen ?
[13.06.2017 | 18:33:25] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @TheDeepSpacer [161855472926720001] :   -dev html css
[13.06.2017 | 18:33:25] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:33:28] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Lord Nightcore [315499915851857922] :   - dev html java
[13.06.2017 | 18:33:30] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @TheDeepSpacer [161855472926720001] :   lol jetzt gehts
[13.06.2017 | 18:33:39] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Lord Nightcore [315499915851857922] :   -dev html java
[13.06.2017 | 18:33:39] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:33:57] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Lord Nightcore [315499915851857922] :   how can i remove roles?
[13.06.2017 | 18:44:59] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   @?  ???  (zekro)
[13.06.2017 | 18:47:11] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @AveronTV [170815084271108096] :   idk
[13.06.2017 | 18:57:02] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Lord Nightcore [315499915851857922] :   kann mir wer helfen, warum der toString nicht mehr erkennt, wenn ich subString direkt dahinter packe? ohne substring erkennt er es
[13.06.2017 | 18:58:38] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Lord Nightcore [315499915851857922] :   also ich habs mal ohne substring gemacht und er löscht auch meine nachricht, schreibt dann aber 5x und mehr die selbe in den chat
[13.06.2017 | 19:08:57] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @zekro [221905671296253953] :   .toString() ist ne funktion
[13.06.2017 | 19:09:00] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @zekro [221905671296253953] :   also mit ()
[13.06.2017 | 19:09:20] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @zekro [221905671296253953] :   nir variablen in klassen sind ohne ()
[13.06.2017 | 19:15:13] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Lord Nightcore [315499915851857922] :   jz hab ich noch das problem, dass ich immer 2 nahrichten als antwort  bekomme (den command löscht er aber schon), wenn ich das als code habe
[13.06.2017 | 19:20:48] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @TheDeepSpacer [161855472926720001] :   ich bin zu doof für git hub wie kann ich jetzt den zekrbot herunteladen dass ich ihn bearbeiten kann?
[13.06.2017 | 19:21:23] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   
[13.06.2017 | 19:32:48] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Skillkiller [98719514908188672] :   Hats du den Bot 2 mal laufen
